Label,Rename
SAL_BA3495AA_AS,SRR1970023
SAL_EA6106AA_AS,SRR1969987
SAL_IA7933AA_AS,SRR1969344
SAL_EA6808AA_AS,SRR1968698
SAL_EA6989AA_AS,SRR1968518
SAL_BA5106AA_AS,SRR1968148
SAL_IA8682AA_AS,SRR1967745
SAL_IA8768AA_AS,SRR1967444
SAL_EA7477AA_AS,SRR1967250
SAL_EA7510AA_AS,SRR1967155
SAL_EA7531AA_AS,SRR1967106
SAL_IA8910AA_AS,SRR1966869
SAL_EA7656AA_AS,SRR1966699
SAL_IA9015AA_AS,SRR1966467
SAL_EA7803AA_AS,SRR1966249
SAL_EA7892AA_AS,SRR1965967
SAL_EA7916AA_AS,SRR1965909
SAL_EA7998AA_AS,SRR1965626
SAL_EA8030AA_AS,SRR1965509
SAL_EA8115AA_AS,SRR1965241
SAL_EA8533AA_AS,SRR1959247
SAL_BA3031AA_AS,SRR1958544
SAL_EA8605AA_AS,SRR1958503
SAL_JA4112AA_AS,SRR1958482
SAL_BA4143AA_AS,SRR1958286
SAL_EA8701AA_AS,SRR1958171
SAL_EA8729AA_AS,SRR1958070
SAL_EA8739AA_AS,SRR1958045
SAL_EA8741AA_AS,SRR1958032
SAL_JA4093AA_AS,SRR1957991
SAL_FA1091AA_AS,SRR1646277
SAL_IA9934AA_AS,SRR1645215
SAL_KA0650AA_AS,SRR3049671
SAL_KA1036AA_AS,SRR3049258
SAL_KA8766AA_AS,SRR3286948
SAL_KA8041AA_AS,SRR3321613
SAL_OA1329AA_AS,ERR1737307
SAL_OA1321AA_AS,ERR1737299
SAL_OA3080AA_AS,ERR1743715
SAL_OA5318AA_AS,ERR1743657
SAL_OA5319AA_AS,ERR1743656
SAL_QA2276AA_AS,SRR5216361
SAL_TA1552AA_AS,SRR5631939
SAL_XA7879AA_AS,ERR2115650
SAL_XA9312AA_AS,ERR2226226
SAL_AB5065AA_AS,ERR3285038
SAL_AB5687AA_AS,SRR7090723
SAL_AB5956AA_AS,SRR7095398
SAL_AB7569AA_AS,SRR7159872
SAL_AB9163AA_AS,SRR7184553
SAL_AB9265AA_AS,SRR7187091
SAL_AB9723AA_AS,SRR7192214
SAL_AB9743AA_AS,SRR7192177
SAL_BB0811AA_AS,SRR7223201
SAL_BB0922AA_AS,SRR7230723
SAL_BB0902AA_AS,SRR7230701
SAL_BB1460AA_AS,SRR7244396
SAL_BB1950AA_AS,SRR7251120
SAL_BB2942AA_AS,SRR7275088
SAL_BB3899AA_AS,SRR7286753
SAL_BB4538AA_AS,SRR7292977
SAL_BB4988AA_AS,SRR7298841
SAL_BB6604AA_AS,SRR7349348
SAL_BB7518AA_AS,SRR7358947
SAL_BB7917AA_AS,SRR7369074
SAL_BB7884AA_AS,SRR7368923
SAL_CB1435AA_AS,SRR7444252
SAL_CB1078AA_AS,SRR7443892
SAL_CB2252AA_AS,SRR7457149
SAL_CB2123AA_AS,SRR7456887
SAL_CB2741AA_AS,SRR7458642
SAL_CB2583AA_AS,SRR7458198
SAL_CB3614AA_AS,SRR7469125
SAL_CB4573AA_AS,SRR7471080
SAL_CB5260AA_AS,SRR7475484
SAL_CB7382AA_AS,SRR7511911
SAL_CB7174AA_AS,SRR7506887
SAL_CB9032AA_AS,SRR7522926
SAL_CB8983AA_AS,SRR7522873
SAL_CB9680AA_AS,SRR7527852
SAL_DB4383AA_AS,ERR3285354
SAL_DB3930AA_AS,ERR3285369
SAL_DB3926AA_AS,ERR3285299
SAL_DB3925AA_AS,ERR3285370
SAL_DB3929AA_AS,ERR3285390
SAL_DB3923AA_AS,ERR3285298
SAL_DB3921AA_AS,ERR3285385
SAL_DB3920AA_AS,ERR3285400
SAL_DB3918AA_AS,ERR3285312
SAL_DB3917AA_AS,ERR3285306
SAL_DB3916AA_AS,ERR3285323
SAL_DB3913AA_AS,ERR3285371
SAL_DB3912AA_AS,ERR3285391
SAL_DB3911AA_AS,ERR3285397
SAL_DB3908AA_AS,ERR3285392
SAL_DB3905AA_AS,ERR3285311
SAL_DB3903AA_AS,ERR3285302
SAL_DB3902AA_AS,ERR3285309
SAL_DB3901AA_AS,ERR3285315
SAL_DB3900AA_AS,ERR3285303
SAL_DB3899AA_AS,ERR3285324
SAL_DB3897AA_AS,ERR3285387
SAL_DB3895AA_AS,ERR3285313
SAL_DB3894AA_AS,ERR3285318
SAL_DB3893AA_AS,ERR3285317
SAL_DB3892AA_AS,ERR3285319
SAL_DB3891AA_AS,ERR3285297
SAL_DB3890AA_AS,ERR3285378
SAL_DB3889AA_AS,ERR3285386
SAL_DB3888AA_AS,ERR3285308
SAL_DB3887AA_AS,ERR3285372
SAL_DB3886AA_AS,ERR3285314
SAL_DB3885AA_AS,ERR3285322
SAL_DB3884AA_AS,ERR3285321
SAL_DB3883AA_AS,ERR3285393
SAL_DB3882AA_AS,ERR3285373
SAL_DB3881AA_AS,ERR3285379
SAL_DB3927AA_AS,ERR3285380
SAL_DB3877AA_AS,ERR3285307
SAL_DB3876AA_AS,ERR3285305
SAL_DB3875AA_AS,ERR3285381
SAL_DB3874AA_AS,ERR3285404
SAL_DB3873AA_AS,ERR3285301
SAL_DB3872AA_AS,ERR3285382
SAL_DB3871AA_AS,ERR3285399
SAL_DB3870AA_AS,ERR3285401
SAL_DB3869AA_AS,ERR3285395
SAL_DB3868AA_AS,ERR3285396
SAL_DB3867AA_AS,ERR3285403
SAL_DB3866AA_AS,ERR3285402
SAL_DB3865AA_AS,ERR3285326
SAL_DB3864AA_AS,ERR3285374
SAL_DB3863AA_AS,ERR3285375
SAL_DB3862AA_AS,ERR3285325
SAL_DB3861AA_AS,ERR3285327
SAL_DB3860AA_AS,ERR3285388
SAL_DB3859AA_AS,ERR3285320
SAL_DB3858AA_AS,ERR3285300
SAL_DB3857AA_AS,ERR3285389
SAL_DB3856AA_AS,ERR3285376
SAL_DB3855AA_AS,ERR3285377
SAL_DB3854AA_AS,ERR3285316
SAL_DB3853AA_AS,ERR3285398
SAL_DB3852AA_AS,ERR3285310
SAL_DB6670AA_AS,ERR3285039
SAL_DB6671AA_AS,ERR3285023
SAL_DB6672AA_AS,ERR3285036
SAL_DB6673AA_AS,ERR3285035
SAL_EB0681AA_AS,SRR7841613
SAL_EB0511AA_AS,SRR7841382
SAL_EB0929AA_AS,SRR7842650
SAL_EB0785AA_AS,SRR7842444
SAL_EB1343AA_AS,SRR7866992
SAL_EB6069AA_AS,SRR7902635
SAL_EB8012AA_AS,SRR7962249
SAL_EB8002AA_AS,SRR7962237
SAL_EB7899AA_AS,SRR7961994
SAL_EB8737AA_AS,SRR7997052
